"Draw","chain","par","value","parameter","Behavior","Animal","Track","step","Previous_State"
250,1,"alpha[1]",0.983874660063251,"alpha","Traveling->Traveling",NA,NA,NA,1
1,2,"alpha[1]",0.951501940453835,"alpha","Traveling->Traveling",NA,NA,NA,1
2,2,"alpha[1]",0.966179737540118,"alpha","Traveling->Traveling",NA,NA,NA,1
3,2,"alpha[1]",0.852151238354453,"alpha","Traveling->Traveling",NA,NA,NA,1
4,2,"alpha[1]",0.964314857985601,"alpha","Traveling->Traveling",NA,NA,NA,1
5,2,"alpha[1]",0.71455713488709,"alpha","Traveling->Traveling",NA,NA,NA,1
6,2,"alpha[1]",0.878250848492649,"alpha","Traveling->Traveling",NA,NA,NA,1
7,2,"alpha[1]",0.945738177640572,"alpha","Traveling->Traveling",NA,NA,NA,1
8,2,"alpha[1]",0.75132096662641,"alpha","Traveling->Traveling",NA,NA,NA,1
9,2,"alpha[1]",0.801069922467799,"alpha","Traveling->Traveling",NA,NA,NA,1
10,2,"alpha[1]",0.847106254436683,"alpha","Traveling->Traveling",NA,NA,NA,1
11,2,"alpha[1]",0.886999516498666,"alpha","Traveling->Traveling",NA,NA,NA,1
12,2,"alpha[1]",0.827298246640401,"alpha","Traveling->Traveling",NA,NA,NA,1
13,2,"alpha[1]",0.318869253744479,"alpha","Traveling->Traveling",NA,NA,NA,1
14,2,"alpha[1]",0.300195752632285,"alpha","Traveling->Traveling",NA,NA,NA,1
15,2,"alpha[1]",0.42212882692349,"alpha","Traveling->Traveling",NA,NA,NA,1
16,2,"alpha[1]",0.924279209536791,"alpha","Traveling->Traveling",NA,NA,NA,1
17,2,"alpha[1]",0.825050347667123,"alpha","Traveling->Traveling",NA,NA,NA,1
18,2,"alpha[1]",0.833090713626275,"alpha","Traveling->Traveling",NA,NA,NA,1
19,2,"alpha[1]",0.836167211101808,"alpha","Traveling->Traveling",NA,NA,NA,1
20,2,"alpha[1]",0.966895926257311,"alpha","Traveling->Traveling",NA,NA,NA,1
21,2,"alpha[1]",0.990221380939449,"alpha","Traveling->Traveling",NA,NA,NA,1
22,2,"alpha[1]",0.56440761671778,"alpha","Traveling->Traveling",NA,NA,NA,1
23,2,"alpha[1]",0.239146951228363,"alpha","Traveling->Traveling",NA,NA,NA,1
24,2,"alpha[1]",0.112415850631341,"alpha","Traveling->Traveling",NA,NA,NA,1
25,2,"alpha[1]",0.925990895303252,"alpha","Traveling->Traveling",NA,NA,NA,1
26,2,"alpha[1]",0.959770420308146,"alpha","Traveling->Traveling",NA,NA,NA,1
27,2,"alpha[1]",0.79327010113026,"alpha","Traveling->Traveling",NA,NA,NA,1
28,2,"alpha[1]",0.392675795008452,"alpha","Traveling->Traveling",NA,NA,NA,1
29,2,"alpha[1]",0.0884813135500468,"alpha","Traveling->Traveling",NA,NA,NA,1
30,2,"alpha[1]",0.374857932870294,"alpha","Traveling->Traveling",NA,NA,NA,1
31,2,"alpha[1]",0.114825258616505,"alpha","Traveling->Traveling",NA,NA,NA,1
32,2,"alpha[1]",0.19251246904951,"alpha","Traveling->Traveling",NA,NA,NA,1
33,2,"alpha[1]",0.404574110404768,"alpha","Traveling->Traveling",NA,NA,NA,1
34,2,"alpha[1]",0.2197962420086,"alpha","Traveling->Traveling",NA,NA,NA,1
35,2,"alpha[1]",0.815175280776266,"alpha","Traveling->Traveling",NA,NA,NA,1
36,2,"alpha[1]",0.676980603987382,"alpha","Traveling->Traveling",NA,NA,NA,1
37,2,"alpha[1]",0.69315768694895,"alpha","Traveling->Traveling",NA,NA,NA,1
38,2,"alpha[1]",0.553456160196495,"alpha","Traveling->Traveling",NA,NA,NA,1
39,2,"alpha[1]",0.67416621749394,"alpha","Traveling->Traveling",NA,NA,NA,1
40,2,"alpha[1]",0.471449393368899,"alpha","Traveling->Traveling",NA,NA,NA,1
41,2,"alpha[1]",0.795026048235217,"alpha","Traveling->Traveling",NA,NA,NA,1
42,2,"alpha[1]",0.584394636944478,"alpha","Traveling->Traveling",NA,NA,NA,1
43,2,"alpha[1]",0.540747168649531,"alpha","Traveling->Traveling",NA,NA,NA,1
44,2,"alpha[1]",0.449930754193689,"alpha","Traveling->Traveling",NA,NA,NA,1
45,2,"alpha[1]",0.851807330933841,"alpha","Traveling->Traveling",NA,NA,NA,1
46,2,"alpha[1]",0.923794790720522,"alpha","Traveling->Traveling",NA,NA,NA,1
47,2,"alpha[1]",0.985112834848753,"alpha","Traveling->Traveling",NA,NA,NA,1
48,2,"alpha[1]",0.994106103614545,"alpha","Traveling->Traveling",NA,NA,NA,1
49,2,"alpha[1]",0.915031191127788,"alpha","Traveling->Traveling",NA,NA,NA,1
50,2,"alpha[1]",0.93220212390477,"alpha","Traveling->Traveling",NA,NA,NA,1
