DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166126,166126,Mk10,06:26:35 09-May-2017,Argos,2,-64.5533,-62.1708,386,1263,118,86,,,,,,
166126,166126,Mk10,06:39:41 09-May-2017,Argos,2,-64.5461,-62.1696,256,1557,42,100,,,,,,
166126,166126,Mk10,06:48:05 09-May-2017,Argos,2,-64.5478,-62.1591,373,856,162,92,,,,,,
166126,166126,Mk10,07:35:16 09-May-2017,Argos,2,-64.5452,-62.1692,439,735,262,100,,,,,,
166126,166126,Mk10,08:07:21 09-May-2017,Argos,A,-64.5648,-62.1781,811,7161,91,96,,,,,,
166126,166126,Mk10,08:23:43 09-May-2017,Argos,1,-64.5454,-62.2024,665,3832,115,102,,,,,,
166126,166126,Mk10,08:26:38 09-May-2017,Argos,2,-64.5496,-62.1890,434,1462,128,107,,,,,,
166126,166126,Mk10,09:06:13 09-May-2017,Argos,A,-64.5143,-62.1111,2131,12826,353,61,,,,,,
166126,166126,Mk10,09:10:25 09-May-2017,Argos,1,-64.5503,-62.1793,787,9325,66,97,,,,,,
166126,166126,Mk10,09:47:02 09-May-2017,Argos,1,-64.5427,-62.2231,1110,7263,169,104,,,,,,
166126,166126,Mk10,10:03:14 09-May-2017,Argos,B,-64.5432,-62.2222,1608,4159,621,94,,,,,,
166126,166126,Mk10,10:04:22 09-May-2017,Argos,2,-64.5449,-62.1720,374,2684,52,96,,,,,,
166126,166126,Mk10,10:47:53 09-May-2017,Argos,1,-64.5444,-62.1791,541,3753,78,81,,,,,,
166126,166126,Mk10,10:54:55 09-May-2017,Argos,2,-64.5448,-62.1695,316,757,131,48,,,,,,
166126,166126,Mk10,11:23:11 09-May-2017,Argos,2,-64.5479,-62.1707,442,1038,188,110,,,,,,
166126,166126,Mk10,11:49:11 09-May-2017,Argos,B,-64.5476,-62.1606,2319,3828,1404,6,,,,,,
166126,166126,Mk10,00:01:39 10-May-2017,Argos,B,-64.5312,-62.1822,2637,73490,94,75,,,,,,
166126,166126,Mk10,00:37:11 10-May-2017,Argos,1,-64.5183,-62.1602,782,1764,346,113,,,,,,
166126,166126,Mk10,01:09:05 10-May-2017,Argos,2,-64.5205,-62.1361,383,582,251,82,,,,,,
166126,166126,Mk10,01:26:53 10-May-2017,Argos,B,-64.5207,-62.1372,1940,4448,845,90,,,,,,
166126,166126,Mk10,01:37:37 10-May-2017,Argos,1,-64.5285,-62.1485,655,1173,365,46,,,,,,
166126,166126,Mk10,01:59:31 10-May-2017,Argos,B,-64.5285,-62.1580,1377,3459,548,134,,,,,,
166126,166126,Mk10,02:51:00 10-May-2017,Argos,A,-64.5304,-62.1610,729,18891,28,80,,,,,,
166126,166126,Mk10,03:12:28 10-May-2017,Argos,B,-64.5301,-62.1563,995,3917,252,83,,,,,,
166126,166126,Mk10,03:15:31 10-May-2017,Argos,A,-64.5060,-62.0933,654,3868,110,72,,,,,,
166126,166126,Mk10,03:43:39 10-May-2017,Argos,A,-64.5207,-62.1608,599,14036,25,67,,,,,,
166126,166126,Mk10,03:50:57 10-May-2017,Argos,B,-64.5202,-62.1622,682,2405,193,72,,,,,,
166126,166126,Mk10,04:24:56 10-May-2017,Argos,1,-64.5318,-62.1413,1231,8250,183,87,,,,,,
166126,166126,Mk10,04:47:50 10-May-2017,Argos,2,-64.5251,-62.1353,407,1221,135,114,,,,,,
166126,166126,Mk10,04:56:11 10-May-2017,Argos,B,-64.5235,-62.1385,1044,5830,186,80,,,,,,
166126,166126,Mk10,05:34:22 10-May-2017,Argos,B,-64.5313,-62.1668,928,2938,292,110,,,,,,
166126,166126,Mk10,06:07:21 10-May-2017,Argos,0,-64.5425,-62.1702,2860,24055,339,85,,,,,,
166126,166126,Mk10,06:29:05 10-May-2017,Argos,2,-64.5549,-62.1811,272,2987,24,97,,,,,,
166126,166126,Mk10,07:13:36 10-May-2017,Argos,B,-64.5568,-62.1853,2040,4646,895,90,,,,,,
166126,166126,Mk10,07:49:20 10-May-2017,Argos,B,-64.5561,-62.1754,2123,3785,1190,104,,,,,,
