13440 121210   5  7 A A 2013-06-13 01:52:33 -18.094  283.909  0.000 401677535
      2013-06-13 01:49:05  2         29          251          208           61
                                     73           02          144
      2013-06-13 01:52:33  1         29          251          207           67
                                     68           02          144
13440 121210   5  7 P A 2013-06-13 05:23:19 -17.922  283.877  0.000 401677538
      2013-06-13 05:23:39  1         29          251          209           64
                                     71           03          134
      2013-06-13 05:25:11  2         29          251          209           62
                                     73           02          142
13440 121210  11  7 P 3 2013-06-13 06:58:21 -17.840  283.836  0.000 401677535
      2013-06-13 06:57:40  1         29          251          208           62
                                     73           02          143
      2013-06-13 07:00:20  1         29          251          208           63
                                     73           02          142
      2013-06-13 07:01:03  1         29          251          208           60
                                     76           02          142
      2013-06-13 07:08:37  4         29          251          208           61
                                     75           02          142
      2013-06-13 07:10:22  2         29          251          208           62
                                     74           02          142
13440 121210   7  7 R 2 2013-06-13 11:42:13 -17.604  283.758  0.000 401677539
      2013-06-13 11:40:31  3         29          251          208           62
                                     79           02          137
      2013-06-13 11:45:27  1         29          251          208           63
                                     76           02          139
      2013-06-13 11:46:10  1         29          251          209           62
                                     76           02          139
13440 121210   3  7 P B 2013-06-13 17:59:19 -17.266  283.655  0.000 401677548
      2013-06-13 17:59:19  1         30          251          209           64
                                     74           02           15
13440 121210  11  7 P 2 2013-06-13 19:39:53 -17.131  283.722  0.000 401677537
      2013-06-13 19:35:48  1         30          251          208           61
                                     79           02          137
      2013-06-13 19:38:25  1         30          251          208           61
                                     84           02          132
      2013-06-13 19:39:05  1         30          251          208           62
                                     70          183          117
      2013-06-13 19:42:51  1         30          251          208           62
                                     76           02          139
      2013-06-13 19:43:21  1         30          251          208           60
                                     78           02          139
13440 121210  13  7 K 2 2013-06-13 23:21:54 -16.899  283.696  0.000 401677535
      2013-06-13 23:18:41  1         30          251          209           61
                                     77           02          138
      2013-06-13 23:22:17  1         30          251          209           62
                                     79           02          135
      2013-06-13 23:22:58  2         30          251          209           61
                                     80           02          135
      2013-06-13 23:24:25  1         30          251          209           63
                                     76           02          137
      2013-06-13 23:24:55  1         30          251          209           62
                                     77           02          137
      2013-06-13 23:26:03  2         30          251          209           61
                                     76           02          139
13440 121210   8  3 R 0 2013-06-14 00:21:31 -16.842  283.692  0.000 401677536
      2013-06-14 00:19:40  1         30          251           80
      2013-06-14 00:21:26  1         30          251          208           62
                                     74           02          141
      2013-06-14 00:22:14  2         30          251          208           61
                                     74           02          142
      2013-06-14 00:23:40  1         30          251          209          231
                                    193           74          111
13440 121210   9  7 A 1 2013-06-14 01:25:44 -16.784  283.676  0.000 401677535
      2013-06-14 01:22:43  1         30          251          206           62
                                     73           02          143
      2013-06-14 01:24:11  1         30          251          143           61
                                     74           02          143
      2013-06-14 01:27:26  1         30          251          207           61
                                     74           02          151
      2013-06-14 01:28:40  1         30          251          207           61
                                     74           02          143
13440 121210   9  7 L 2 2013-06-14 01:35:55 -16.778  283.680  0.000 401677536
      2013-06-14 01:34:31  1         30          251          207           61
                                     74           02          143
      2013-06-14 01:35:17  1         30          251          207           61
                                     75           02          142
      2013-06-14 01:36:26  1         30          251          207           60
                                     75           02          143
      2013-06-14 01:37:28  1         30          251          207           62
                                     73           02          143
13440 121210   3  7 P B 2013-06-14 05:13:06 -16.554  283.654  0.000 401677536
      2013-06-14 05:13:07  1         30          251          209           62
                                     79           02          135
13440 121210  11  7 P 3 2013-06-14 06:48:53 -16.442  283.583  0.000 401677536
      2013-06-14 06:47:02  1         30          184           91          244
                                     75          228          255
      2013-06-14 06:49:44  1         31          251          208           60
                                     75           02          141
      2013-06-14 06:51:55  3         31          251          207           61
                                     75           02          141
      2013-06-14 06:53:05  1         31          251          207           62
                                     74           02          141
      2013-06-14 06:56:35  1         31          251          207           60
                                     76           02          141
13440 121210   3  7 N B 2013-06-14 08:03:17 -16.361  283.559  0.000 401677536
      2013-06-14 08:03:17  1         31          251          207           61
