13440 096089   3  3 A
      2012-04-17 19:09:18  1         70          179           40
      2012-04-17 19:10:17  1         70          181           40
      2012-04-17 19:11:46  1         71          183           41
      2012-04-17 19:13:14  3         71          184           41
      2012-04-17 19:13:44  1         71          185           41
13440 096092   2  3 L
      2012-04-17 19:32:25  1         71          189           42
13440 096092   3  3 M 2 2012-04-17 20:49:51 -42.953  147.360  0.000 401677108
      2012-04-17 20:50:06  7         71          191           43
      2012-04-17 20:54:31  7         71          192           43
13440 096092   2  3 L 3 2012-04-17 21:10:00 -42.951  147.355  0.000 401677102
      2012-04-17 21:13:42 11         71          192           43
13440 096092   4  3 A 3 2012-04-17 22:04:20 -42.953  147.354  0.000 401677094
      2012-04-17 22:00:25  1         72          193           43
      2012-04-17 22:07:18  1         72          194           57
      2012-04-17 22:09:16 15         72          194           43
13440 096092   3  3 M 3 2012-04-17 22:30:53 -42.953  147.342  0.000 401677087
      2012-04-17 22:30:24  2         72          194           43
      2012-04-17 22:34:20  9         72          195           43
13440 096092   5  3 L 3 2012-04-17 22:51:17 -42.950  147.349  0.000 401677080
      2012-04-17 22:47:37  1         72          195           44
      2012-04-17 22:48:06  1         72          195           43
      2012-04-17 22:54:00  3         72          196           43
      2012-04-17 22:55:29 11         72          196           44
13440 096092   5  3 A 3 2012-04-17 23:42:40 -42.949  147.342  0.000 401677067
      2012-04-17 23:41:12  2         73          197           44
      2012-04-17 23:41:42  1         72          199           12
      2012-04-17 23:42:11  1         73          197           43
      2012-04-17 23:48:05  8         73          198           44
13440 096092   2  3 P
      2012-04-18 02:07:43  1         74          201           45
13440 096092   4  3 P
      2012-04-18 03:44:35  1         75          202           45
      2012-04-18 03:52:27 13         75          203           45
      2012-04-18 03:53:26  1        195          142           39
13440 096092   6  3 N
      2012-04-18 03:53:26  1        206          112          206
      2012-04-18 03:54:25  1         75          218           45
      2012-04-18 03:56:23  1         75          203           36
      2012-04-18 03:57:22  4         75          202           45
      2012-04-18 03:59:49  3         75          203           45
13440 096092   2  3 K
      2012-04-18 05:25:22  1         75          203           45
13440 096092   4  3 P 3 2012-04-18 05:29:33 -42.949  147.359  0.000 401677068
      2012-04-18 05:27:50  1         75          207           61
      2012-04-18 05:32:45  1        107          203           45
      2012-04-18 05:33:44 14         75          203           45
13440 096092   4  3 N 2 2012-04-18 05:38:09 -42.948  147.364  0.000 401677069
      2012-04-18 05:39:38 14         75          203           45
      2012-04-18 05:43:04  6         76          203           45
      2012-04-18 05:43:34  1         96           75          146
13440 096093   4  3 A
      2012-04-17 00:03:30  2         52          174           40
      2012-04-17 00:06:30  1         52          173           39
      2012-04-17 00:08:00  3         52          173           40
13440 096093   4  3 P
      2012-04-17 03:59:31  8         54          180           41
      2012-04-17 04:03:01  1         54          177          153
      2012-04-17 04:04:01  8         54          179           41
13440 096093   4  3 N 3 2012-04-17 04:08:45 -42.949  147.349  0.000 401677256
      2012-04-17 04:11:31  3         54          180           41
      2012-04-17 04:12:01  7         54          179           41
      2012-04-17 04:12:31  1         22          179           41
13440 096093   2  3 P 3 2012-04-17 05:40:45 -42.948  147.359  0.000 401677273
      2012-04-17 05:44:31 13         54          181           41
13440 096093   2  3 K
      2012-04-17 05:50:31  4         54          181           41
13440 096093   2  3 N 3 2012-04-17 05:48:00 -42.949  147.355  0.000 401677275
      2012-04-17 05:52:31 17         54          181           41
13440 096093   5  3 M 0 2012-04-17 19:11:45 -42.951  147.357  0.000 401677283
      2012-04-17 19:10:01  1         55          174           40
      2012-04-17 19:11:31  1         60          196          108
      2012-04-17 19:13:01  1         55          177           41
      2012-04-17 19:13:31  1         55          178           41
13440 096093   2  3 L B 2012-04-17 19:31:01 -42.951  147.352  0.000 401677282
      2012-04-17 19:32:31  2         55          183           41
13440 096093   2  3 A
      2012-04-17 20:27:01  1         56          184           42
13440 096093   2  3 M 3 2012-04-17 20:50:31 -42.952  147.355  0.000 401677282
      2012-04-17 20:54:31 10         56          186           42
13440 096093   4  3 L 3 2012-04-17 21:10:31 -42.950  147.354  0.000 401677282
      2012-04-17 21:06:01  1         56          187          107
      2012-04-17 21:11:31  3         56          187           43
      2012-04-17 21:15:01  7         56          187           42
13440 096093   3  3 A 3 2012-04-17 22:04:16 -42.951  147.353  0.000 401677281
      2012-04-17 21:59:31  1         57          188           42
      2012-04-17 22:09:01 17         56          188           43
13440 096093   2  3 M 3 2012-04-17 22:30:31 -42.953  147.347  0.000 401677278
      2012-04-17 22:34:31 13         57          189           43
13440 096093   4  3 L 3 2012-04-17 22:51:31 -42.952  147.353  0.000 401677272
      2012-04-17 22:53:31  1         57          191           42
      2012-04-17 22:54:01  8         57          190           43
      2012-04-17 22:55:01  2         57          191           43
13440 096093   5  3 A 2 2012-04-17 23:44:31 -42.951  147.336  0.000 401677261
      2012-04-17 23:41:31  1         57          191           44
      2012-04-17 23:42:01  1         57          192           43
      2012-04-17 23:43:31  3         57          192           44
      2012-04-17 23:48:31  8         57          193           44
13440 096093   5  3 P
      2012-04-18 03:49:31  1         43           85          173
      2012-04-18 03:51:31  3         59          197           44
      2012-04-18 03:52:31  6         59          197           45
      2012-04-18 03:54:01  1         27          197           45
13440 096093   3  3 N 1 2012-04-18 03:58:01 -42.938  147.359  0.000 401677250
      2012-04-18 03:56:31  1         59          197           44
      2012-04-18 04:00:01  5         59          197           45
13440 096093   2  3 K
      2012-04-18 05:28:31  1         62          197           45
13440 096093   4  3 P 3 2012-04-18 05:30:16 -42.951  147.359  0.000 401677262
      2012-04-18 05:27:01  1         60          198           45
      2012-04-18 05:33:31  1         60          197           44
      2012-04-18 05:34:01 12         60          197           45
13440 096093   3  3 N 2 2012-04-18 05:38:31 -42.948  147.363  0.000 401677263
      2012-04-18 05:33:31  1         60          197           44
      2012-04-18 05:43:31 18         60          197           45
13440 096093   2  3 K
      2012-04-18 07:03:01  1         61          197           45
13440 096094   4  3 A
      2012-04-17 00:05:05  3         46          186           37
      2012-04-17 00:09:09  1         46          187           36
      2012-04-17 00:10:40  5         46          187           37
13440 096094   2  3 P
      2012-04-17 02:18:16  1         47          197          163
13440 096094   4  3 P 2 2012-04-17 03:58:55 -42.951  147.343  0.000 401677168
      2012-04-17 03:53:50  1         48          136           40
      2012-04-17 04:02:29  1         48          200           44
      2012-04-17 04:04:00 18         48          200           40
13440 096094   2  3 N 3 2012-04-17 04:08:34 -42.951  147.347  0.000 401677172
      2012-04-17 04:12:08 11         48          200           40
13440 096094   5  3 P 3 2012-04-17 05:40:50 -42.948  147.358  0.000 401677184
      2012-04-17 05:37:32  1        113          200           39
      2012-04-17 05:42:07  1         49          200           40
      2012-04-17 05:43:08  9         49          200           39
      2012-04-17 05:44:39  4         49          199           39
13440 096094   3  3 N 3 2012-04-17 05:47:57 -42.949  147.355  0.000 401677185
      2012-04-17 05:46:41  1         49          199           41
      2012-04-17 05:52:47 15         49          199           39
13440 096094   2  3 K
      2012-04-17 05:52:47  6         49          199           39
13440 096094   2  3 L B 2012-04-17 19:29:38 -42.955  147.364  0.000 401677196
      2012-04-17 19:29:53  2         50          192           38
13440 096094   4  3 M 3 2012-04-17 20:49:57 -42.952  147.356  0.000 401677196
      2012-04-17 20:46:39  2         50          198           39
      2012-04-17 20:51:44  1         50          199           40
      2012-04-17 20:54:16 13         50          199           39
13440 096094   5  3 L 3 2012-04-17 21:10:01 -42.950  147.355  0.000 401677194
      2012-04-17 21:10:32  1         35          199           40
      2012-04-17 21:14:06  8         51          199           39
      2012-04-17 21:15:07  1         51          200           39
      2012-04-17 21:15:37  9         51          199           40
13440 096094   3  3 A 3 2012-04-17 22:03:54 -42.952  147.355  0.000 401677189
      2012-04-17 22:07:28 13         51          200           40
      2012-04-17 22:09:00  4         51          201           40
13440 096094   3  3 M 3 2012-04-17 22:30:51 -42.950  147.347  0.000 401677187
      2012-04-17 22:31:52  1         59          201           41
      2012-04-17 22:34:25  9         51          201           40
13440 096094   4  3 L 3 2012-04-17 22:51:11 -42.951  147.351  0.000 401677181
      2012-04-17 22:49:40  1         51          206          137
      2012-04-17 22:53:13  2         51          202           41
      2012-04-17 22:54:45 12         51          202           40
13440 096094   2  3 A 3 2012-04-17 23:46:05 -42.949  147.344  0.000 401677172
      2012-04-17 23:49:39 12         52          203           41
13440 096094   3  3 P B 2012-04-18 02:04:06 -42.945  147.242  0.000 401677187
      2012-04-18 02:03:51  1         49          204           41
      2012-04-18 02:04:22  1         53          204           41
13440 096094   3  3 P
      2012-04-18 03:44:30  1         54          203           43
      2012-04-18 03:53:39 17         54          204           41
13440 096094   3  3 N 2 2012-04-18 03:57:12 -42.949  147.355  0.000 401677169
      2012-04-18 03:55:41  1         50          204           41
      2012-04-18 04:00:16  9         54          204           41
13440 096094   2  3 K
      2012-04-18 05:25:40  1         54          204           41
13440 096094   3  3 P 3 2012-04-18 05:30:14 -42.949  147.358  0.000 401677175
      2012-04-18 05:27:42  1         54          204           45
      2012-04-18 05:33:48 11         54          204           41
13440 096094   3  3 N 3 2012-04-18 05:37:51 -42.948  147.360  0.000 401677176
      2012-04-18 05:37:21  8         54          204           41
      2012-04-18 05:42:57 10         55          204           41
13440 096094   3  3 K 3 2012-04-18 07:07:35 -42.950  147.351  0.000 401677184
      2012-04-18 07:10:53  8         55          203           41
      2012-04-18 07:11:24  5         55          203           40
13440 096095   4  3 P
      2012-04-17 03:57:41  1         64          172          170
      2012-04-17 04:02:20  2         64          172           37
      2012-04-17 04:03:53 11         64          172           38
13440 096095   3  3 N 1 2012-04-17 04:06:58 -42.954  147.341  0.000 401677202
      2012-04-17 04:09:03  1         64          172           37
      2012-04-17 04:09:34  3         64          172           38
13440 096095   2  3 P 2 2012-04-17 05:41:31 -42.949  147.360  0.000 401677220
      2012-04-17 05:44:07  9         65          171           38
13440 096095   2  3 K
      2012-04-17 05:50:50  5         65          171           38
13440 096095   2  3 N 3 2012-04-17 05:47:59 -42.948  147.355  0.000 401677221
      2012-04-17 05:51:52 13         65          171           38
13440 096095   2  3 L
      2012-04-17 19:32:07  1         66          176           39
13440 096095   6  3 M 3 2012-04-17 20:49:52 -42.951  147.357  0.000 401677239
      2012-04-17 20:46:31  1         66          181           56
      2012-04-17 20:52:43  9         66          181           41
      2012-04-17 20:53:14  2         66          181           40
      2012-04-17 20:53:45  1         74          181           41
      2012-04-17 20:54:47  1         70           23           43
13440 096095   6  3 L 3 2012-04-17 21:10:47 -42.950  147.355  0.000 401677236
      2012-04-17 21:08:44  1         18           52          169
      2012-04-17 21:10:48  2         66          182           40
      2012-04-17 21:11:19  1         66          181           40
      2012-04-17 21:11:50  1         66          182           42
      2012-04-17 21:15:27 10         66          182           41
13440 096095   4  3 A 3 2012-04-17 22:04:47 -42.952  147.355  0.000 401677231
      2012-04-17 22:06:36 10         67          183           41
      2012-04-17 22:08:40  4         67          184           41
      2012-04-17 22:09:11  1         75          183           40
13440 096095   2  3 M 2 2012-04-17 22:30:21 -42.954  147.347  0.000 401677226
      2012-04-17 22:33:28 10         67          185           41
13440 096095   3  3 L 3 2012-04-17 22:51:17 -42.950  147.350  0.000 401677221
      2012-04-17 22:53:37  4         67          186           42
      2012-04-17 22:55:41  8         67          186           41
13440 096095   5  3 A 2 2012-04-17 23:45:01 -42.956  147.341  0.000 401677204
      2012-04-17 23:44:46  1         67          189           43
      2012-04-17 23:45:17  2         67          189           42
      2012-04-17 23:46:50  1         67          190           42
      2012-04-17 23:47:21  1         67          190           43
13440 096095   2  3 P
      2012-04-18 02:04:47  1         68          192           43
13440 096095   4  3 P
      2012-04-18 03:45:32  1         69          194           45
      2012-04-18 03:52:46 14         69          195           44
      2012-04-18 03:53:17  1         69          195           43
13440 096095   3  3 N 0 2012-04-18 03:54:34 -42.946  147.401  0.000 401677195
      2012-04-18 03:55:21  2         69          195           43
      2012-04-18 03:55:52  2         69          195           44
13440 096095   2  3 K
      2012-04-18 05:25:15  1         70          195           44
13440 096095   3  3 P 3 2012-04-18 05:28:52 -42.950  147.361  0.000 401677209
      2012-04-18 05:29:54  1         70          196           44
      2012-04-18 05:33:00 13         70          195           44
13440 096095   3  3 N 2 2012-04-18 05:37:39 -42.948  147.360  0.000 401677210
      2012-04-18 05:40:45  3         70          195           43
      2012-04-18 05:42:18 11         70          195           44
13440 096095   3  3 K 3 2012-04-18 07:08:35 -42.951  147.348  0.000 401677222
      2012-04-18 07:10:39  6         71          195           44
      2012-04-18 07:12:12  8         71          195           43
13440 096096   2  3 A
      2012-04-17 00:09:40  6         46          173           40
13440 096096   3  3 P
      2012-04-17 02:14:37  1         47          181           41
      2012-04-17 02:15:40  1         47          181           42
13440 096096   3  3 P
      2012-04-17 04:01:43 13         47          187           43
      2012-04-17 04:02:15  1        111          187           43
13440 096096   3  3 N 3 2012-04-17 04:07:45 -42.949  147.348  0.000 401677091
      2012-04-17 04:11:10 13         47          187           43
      2012-04-17 04:11:42  1         47          171           43
13440 096096   3  3 P 3 2012-04-17 05:39:54 -42.948  147.357  0.000 401677102
      2012-04-17 05:42:00  1         48          189           44
      2012-04-17 05:44:38 15         48          189           43
13440 096096   3  3 K
      2012-04-17 05:50:24  3         48          189           43
      2012-04-17 05:50:56  3         48          188           43
13440 096096   3  3 N 3 2012-04-17 05:48:33 -42.950  147.353  0.000 401677104
      2012-04-17 05:51:27  4         48          189           43
      2012-04-17 05:53:33  7         48          188           43
13440 096096   9  3 M 0 2012-04-17 19:12:02 -42.953  147.301  0.000 401677104
      2012-04-17 19:10:13  1         49          174           41
      2012-04-17 19:10:44  1         49          172           41
      2012-04-17 19:11:16  1         49          171           40
      2012-04-17 19:11:47  1         49          175           41
      2012-04-17 19:12:19  1         49          177           41
      2012-04-17 19:12:50  1         49          179           41
      2012-04-17 19:13:22  1         49          180           42
      2012-04-17 19:13:53  1         49          181           42
13440 096096   2  3 L 0 2012-04-17 19:31:44 -42.965  147.308  0.000 401677103
      2012-04-17 19:32:47  4         49          189           44
13440 096096   3  3 A
      2012-04-17 20:26:52  1         48          191           45
      2012-04-17 20:27:23  1         49          191           44
13440 096096   4  3 M 3 2012-04-17 20:49:57 -42.951  147.356  0.000 401677117
      2012-04-17 20:47:20  1         49          193           44
      2012-04-17 20:53:38  9         49          193           45
      2012-04-17 20:55:13  1         50          193           45
13440 096096   3  3 L 3 2012-04-17 21:09:54 -42.951  147.354  0.000 401677115
      2012-04-17 21:12:01  7         50          193           45
      2012-04-17 21:13:35  6         50          194           45
13440 096096   4  3 A 3 2012-04-17 22:03:11 -42.952  147.353  0.000 401677113
      2012-04-17 22:00:50  2         50          194           45
      2012-04-17 22:04:31  1         50          195           53
      2012-04-17 22:07:08 11         50          195           45
13440 096096   4  3 M 2 2012-04-17 22:30:45 -42.952  147.348  0.000 401677110
      2012-04-17 22:29:11  6         50          195           45
      2012-04-17 22:32:20  1         50          196           46
      2012-04-17 22:34:58  4         50          196           45
13440 096096   4  3 L 3 2012-04-17 22:51:45 -42.951  147.352  0.000 401677104
      2012-04-17 22:49:40  1         50          204           77
      2012-04-17 22:51:14  4         50          196           45
      2012-04-17 22:55:58  9         50          197           45
13440 096096   4  3 A 3 2012-04-17 23:43:12 -42.951  147.344  0.000 401677095
      2012-04-17 23:43:44  5         51          198           45
